Agent-ID,Agent-Name,Port (typisch),Hauptschnittstellen,Objectives (What I want),Required Capabilities (What I need from the agent),Upstream Inputs (What the agent needs from others),Outputs/Deliverables,SLOs / KPIs,Security & Compliance,Dependencies,Test Plan (Smoke),Runbook (Ops)
3,OpenWebUI Terminal,8080 (loopback only),Web-UI + REST-API,Single point of entry for human users; stable chat + prompt gateway,"Auth, session handling, REST bridge to opena1, file upload, rate limiting","opena1 routing, opena2 archiv, kordp dispatch","User messages normalized, file blobs, session logs","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",/health 200; echo message; upload file; observe safepoint,"health check, rotate tokens, restart policy, log review"
5,VS Code Agent,12348,"/sync, /push, /lint",Seamless Dev <-> Portier file sync and one-click task run,"Push/pull files, lint hooks, commit hooks, secure IDE token","opena1 routing, opena2 archiv, kordp dispatch","File diffs, lint reports, build triggers","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",push a file; receive ack; lint passes; safepoint created,"health check, rotate tokens, restart policy, log review"
6,Browser Bedienung,12349,"/navigate, /capture","Automated browsing, capture evidence (screenshots, PDFs)","Headless browser, selector actions, rate control, proxy support","opena1 routing, opena2 archiv, kordp dispatch","Screenshots, DOM snapshots, crawl logs","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",navigate example.com; capture; artifact archived,"health check, rotate tokens, restart policy, log review"
7,E-Mail Chatbot,12350,"/mail/in, /mail/out",Email in/out automation with threading and tagging,"IMAP fetch, SMTP send, label mapping, MIME parsing","opena1 routing, opena2 archiv, kordp dispatch","Parsed emails, send receipts, thread IDs","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",ingest test mail; send reply; verify archives,"health check, rotate tokens, restart policy, log review"
8,WhatsApp Chatbot,12351,"/msg/in, /msg/out",WhatsApp inbound/outbound with template support,"Meta API, webhook verify, media handling","opena1 routing, opena2 archiv, kordp dispatch","WA messages, delivery receipts","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",receive msg; send template; delivery ok,"health check, rotate tokens, restart policy, log review"
9,Telefon-Antwort Bot,12352,"/call/in, /tts",IVR-like voice intake with ASR + TTS,"Inbound SIP/telephony, ASR pipeline, TTS voices, DTMF","opena1 routing, opena2 archiv, kordp dispatch","Call transcripts, audio wav, intent payloads","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",call in; get TTS; transcript archived,"health check, rotate tokens, restart policy, log review"
10,Telefon-Anruf Bot,12353,/call/out,Proactive outbound alerts via phone,"Dialer, call pacing, TTS, retry policy","opena1 routing, opena2 archiv, kordp dispatch","Call result states, recordings","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",place call; status received; recording stored,"health check, rotate tokens, restart policy, log review"
11,Unlock Master,12354,"/verify, /unlock",Break-glass + policy enforcement,"MFA, hardware key support, emergency overrides, policy logs","opena1 routing, opena2 archiv, kordp dispatch","Signed unlock tickets, audit logs","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",request unlock; verify MFA; ticket archived,"health check, rotate tokens, restart policy, log review"
12,Social Media Automatisierung,12355,"/schedule, /publish",Plan & publish across FB/X/LinkedIn,"OAuth per network, scheduler, media queue, UTM tagging","opena1 routing, opena2 archiv, kordp dispatch","Post IDs, schedule receipts, error report","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",schedule post; publish; confirm post ID,"health check, rotate tokens, restart policy, log review"
13,Influencer Agent,12356,"/analyze, /post",Content optimization + engagement analytics,"A/B captions, hashtag recs, KPI ingest, comment triage","opena1 routing, opena2 archiv, kordp dispatch","Optimized copy, engagement report","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",analyze sample post; produce recs; metrics saved,"health check, rotate tokens, restart policy, log review"
14,Calendar Agent,12357,"/events, /sync",Calendar sync and smart scheduling,"Google/Outlook API, conflict detection, timezone handling","opena1 routing, opena2 archiv, kordp dispatch","Event objects, invite receipts","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",create event; sync; verify in both calendars,"health check, rotate tokens, restart policy, log review"
15,HTML Creator,12358,"/render, /export",Generate HTML blocks and export assets,"HTML templating, CSS inliner, image pipeline","opena1 routing, opena2 archiv, kordp dispatch","HTML snippet, minified assets, export zip","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",render sample block; export; validate HTML,"health check, rotate tokens, restart policy, log review"
16,Shop Creator,12359,"/catalog, /order",Product catalog + order flows,"SKU CRUD, checkout webhooks, tax/shipping calc","opena1 routing, opena2 archiv, kordp dispatch","Order receipts, inventory updates","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",create SKU; place test order; webhook archived,"health check, rotate tokens, restart policy, log review"
17,Homepage Creator,12360,"/site/create, /deploy",Full website generator + deployment,"Static site build, CMS export, deploy providers","opena1 routing, opena2 archiv, kordp dispatch","Site artifact, deploy URL","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",generate site; deploy; URL reachable,"health check, rotate tokens, restart policy, log review"
18,Local Archiv Agent,12361,"/sync/local, /backup",Mirror archivp to local/offline media,"Incremental sync, checksum, airgap mode","opena1 routing, opena2 archiv, kordp dispatch","Backup snapshot, integrity report","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",run sync; verify checksums; restore sample,"health check, rotate tokens, restart policy, log review"
19,Aktien & Crypto Agent,12362,"/market, /alert","Market data, alerts, periodic reports","Price feeds, alert rules, portfolio calc","opena1 routing, opena2 archiv, kordp dispatch","Signals, daily/weekly pdf, csv","Latency p95, Success rate, Error budget, Throughput","Authn/Authz, secrets mgmt, audit via opena2, rate limits, PII handling","opena1, opena2, kordp",subscribe price; trigger alert; report archived,"health check, rotate tokens, restart policy, log review"
